1: France, 0, 10;
2: France, 1, 10;
3: France, 2, 10; France, 1, 4;
4: France, 2, 10; Spain, 3, 10;
5: Spain, 3, 20; France, 2, 4;
6: Spain, 3, 14; France, 5, 10;
171: France, 52, 84; Italy, 148, 40; Italy, 50, 38;
172: France, 52, 84; Italy, 148, 40; Italy, 50, 38;
173: France, 52, 84; Spain, 125, 40; Italy, 148, 40;
174: France, 52, 84; Spain, 89, 44; Spain, 125, 40;
175: France, 52, 84; Spain, 89, 44; Spain, 125, 40;
176: France, 52, 84; Spain, 89, 44; Spain, 125, 40;
177: France, 52, 84; Spain, 89, 40; Italy, 148, 40;
178: France, 52, 78; Spain, 89, 40; Italy, 148, 40;
179: France, 52, 78; Spain, 89, 40; Italy, 148, 40;
180: France, 52, 78; Spain, 89, 40; Italy, 148, 40;
181: France, 52, 78; Spain, 89, 40; Italy, 148, 40;
182: France, 52, 78; Spain, 89, 40; Italy, 148, 40;
183: France, 52, 74; Spain, 89, 40; Italy, 148, 40;
184: France, 52, 68; Italy, 148, 50; Spain, 89, 40;
185: France, 52, 68; Italy, 148, 50; Spain, 89, 40;
186: France, 52, 68; Italy, 148, 50; Spain, 125, 44;
187: France, 52, 68; Italy, 148, 50; Spain, 125, 44;
188: France, 52, 68; Italy, 148, 50; Spain, 125, 44;
189: France, 52, 64; Italy, 148, 50; Spain, 125, 44;
190: France, 52, 64; Italy, 148, 50; Spain, 125, 44;
191: France, 52, 60; Italy, 148, 50; Spain, 125, 44;
192: France, 52, 70; Italy, 148, 50; Spain, 125, 38;
193: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
194: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
195: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
196: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
197: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
198: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
199: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
200: France, 52, 66; Italy, 148, 50; Italy, 50, 38;
201: France, 52, 66; Italy, 148, 50; Spain, 125, 48;
202: France, 52, 66; Italy, 148, 50; Spain, 125, 48;
203: France, 52, 76; Italy, 148, 50; Spain, 125, 48;
204: France, 52, 76; Italy, 148, 50; Spain, 125, 48;
205: France, 52, 70; Italy, 148, 50; Spain, 125, 48;
206: France, 52, 64; Italy, 148, 50; Spain, 125, 48;
207: France, 52, 64; Italy, 148, 50; Spain, 125, 48;
208: France, 52, 64; Italy, 148, 50; Spain, 125, 48;
209: France, 52, 64; Italy, 50, 48; Spain, 125, 48;
210: France, 52, 64; Spain, 125, 48; Italy, 50, 44;
